obs,1num,tic,1conm_x,gvkey,1ceo_minority,new_director_source,new_director_name,2director_race(black),2num,2Company,2AnnDate,2permno,TMT_verify_link(Manual Check),*TMT_Active_in_2020_afterMay26(Manual Check),CrossVerify_2role_type,2Confounded,2Interim,2gender(female?),blackTMT?,Num_Black_TMT,EverHad_Black_TMT,3num,3CompanyID,3DirectorID,3CompanyName,3RoleName,1ethnicity (from boardex),3DateStartRole,3DateEndRole,3Seniority,Director_EverBeen_CEO?,3Director_Active_in_2020_afterMay26
602,257,HCA,HCA HEALTHCARE INC,22260,0,3BoardEx,Sam Hazen,,,,,,,Yes,,,,,,0,0,662,1692837,35175,HCA HEALTHCARE INC (HCA Holdings Inc prior to 05/2017),CEO,CAUCASIAN/WHITE,1/1/19,,Executive Director,1,Yes
603,106,MU,MICRON TECHNOLOGY INC,7343,1,3BoardEx,Sanjay Mehrotra,,,,,,,Yes,,,,,,0,0,376,20589,205405,MICRON TECHNOLOGY INC,President/CEO,INDIAN/SOUTH ASIAN,5/8/17,,Executive Director,1,Yes
604,360,INTU,INTUIT INC,27928,1,3BoardEx,Sasan Goodarzi,,,,,,,Yes,,,,,,0,0,309,16626,556870,INTUIT INC,President/CEO,MIDDLE-EASTERN/NORTH AFRICAN,1/1/19,2/1/24,Executive Director,1,Yes
605,402,MSFT,MICROSOFT CORP,12141,1,3BoardEx,Satya Nadella,,,,,,,Yes,,,,,,0,0,380,20601,499383,MICROSOFT CORP,CEO,INDIAN/SOUTH ASIAN,2/4/14,6/16/21,Executive Director,1,Yes
606,216,TXT,TEXTRON INC,10519,0,3BoardEx,Scott Donnelly,,,,,,,Yes,,,,,,0,0,520,30529,32459,TEXTRON INC,Chairman/President/CEO,CAUCASIAN/WHITE,9/1/10,,Executive Director,1,Yes
607,175,CTAS,CINTAS CORP,3062,0,3BoardEx,Scott Farmer,1,198,Cintas,1/19/08,23660,,,TMT,0,,0,1,1,1,128,6877,38311,CINTAS CORP,Chairman/CEO,CAUCASIAN/WHITE,9/30/16,5/31/21,Executive Director,1,Yes
608,276,PXD,PIONEER NATURAL RESOURCES CO,14359,0,3BoardEx,Scott Sheffield,,,,,,,Yes,,,,,,0,0,433,24506,66062,PIONEER NATURAL RESOURCES CO,President/CEO,CAUCASIAN/WHITE,2/21/19,1/1/21,Executive Director,1,Yes
609,345,VRSK,VERISK ANALYTICS INC,180652,0,3BoardEx,Scott Stephenson,,,,,,,Yes,,,,,,0,0,644,1586724,982579,VERISK ANALYTICS INC,Chairman/President/CEO,CAUCASIAN/WHITE,4/1/16,5/5/22,Executive Director,1,Yes
610,39,NLOK,NORTONLIFELOCK INC,15855,0,2Bermiss,Scott Taylor,1,233,Symantec,8/1/08,75607,,,TMT,1,,0,1,2,1,,,,,,CAUCASIAN/WHITE,,,,0,No
611,380,CAG,CONAGRA BRANDS INC,3362,0,3BoardEx,Sean Connolly,,,,,,,Yes,,,,,,0,0,145,7619,837621,CONAGRA BRANDS INC (Conagra Foods Inc prior to 11/2016),President/CEO,CAUCASIAN/WHITE,4/6/15,,Executive Director,1,Yes
612,125,APD,AIR PRODUCTS & CHEMICALS INC,1209,1,3BoardEx,Seifi Ghasemi,,,,,,,Yes,,,,,,0,0,8,1173,24391,AIR PRODUCTS & CHEMICALS INC,Chairman/President/CEO,MIDDLE-EASTERN/NORTH AFRICAN,7/1/14,,Executive Director,1,Yes
613,321,PODD,INSULET CORP,177227,0,3BoardEx,Shacey Petrovic,,,,,,,Yes,,,,,,0,0,622,862492,1519215,INSULET CORPORATION,President/CEO,CAUCASIAN/WHITE,1/1/19,6/1/22,Executive Director,1,Yes
614,348,ADBE,ADOBE INC,12540,1,3BoardEx,Shantanu Narayen,,,,,,,Yes,,,,,,0,0,4,808,49351,ADOBE INC (Adobe Systems Inc prior to 10/2018),Chairman/President/CEO,INDIAN/SOUTH ASIAN,1/27/17,1/13/22,Executive Director,1,Yes
615,136,LVS,LAS VEGAS SANDS CORP,161844,0,3BoardEx,Sheldon Adelson,,,,,,,Yes,,,,,,0,0,603,603630,373289,LAS VEGAS SANDS CORP,Chairman/CEO/Treasurer,CAUCASIAN/WHITE,8/1/04,1/11/21,Executive Director,1,Yes
616,392,NTRS,NORTHERN TRUST CORP,7982,0,2Bermiss,Shundrawn Thomas,1,234,Northern Trust,5/28/14,58246,,,TMT,1,,0,1,1,1,397,22509,1122917,NORTHERN TRUST CORP,Chairman/President/CEO,CAUCASIAN/WHITE,1/23/19,,Executive Director,1,Yes
617,319,MRNA,MODERNA INC,34410,0,3BoardEx,St___©phane Bancel,,,,,,,Yes,,,,,,0,0,719,2959246,507530,MODERNA INC,CEO,CAUCASIAN/WHITE,12/7/18,,Executive Director,1,Yes
618,113,HSIC,HENRY SCHEIN INC,61494,0,3BoardEx,Stan Bergman,,,,,,,Yes,,,,,,0,0,274,14669,85377,HENRY SCHEIN INC,Chairman/CEO,CAUCASIAN/WHITE,5/18/05,,Executive Director,1,Yes
619,230,WBA,WALGREENS BOOTS ALLIANCE INC,11264,0,3BoardEx,Stefano Pessina,1,254,Walgreens Boots Alliance,11/23/09,19502,,,TMT,1,,1,1,2,1,559,33026,3997,WALGREENS BOOTS ALLIANCE INC (Walgreen Co prior to 12/2014),Executive Vice Chairman/CEO,CAUCASIAN/WHITE,7/9/15,3/15/21,Executive Director,1,Yes
620,230,WBA,WALGREENS BOOTS ALLIANCE INC,11264,0,3BoardEx,Stefano Pessina,1,134,Walgreens,1/26/21,19502,,Yes,CEO,0,0,1,1,2,1,559,33026,3997,WALGREENS BOOTS ALLIANCE INC (Walgreen Co prior to 12/2014),Executive Vice Chairman/CEO,CAUCASIAN/WHITE,7/9/15,3/15/21,Executive Director,1,Yes
621,391,MSI,MOTOROLA SOLUTIONS INC,7585,0,3BoardEx,Stephen Liptrap,,,,,,,Yes,,,,,,0,0,657,1681880,1060498,LIFEWORKS INC (Morneau Shepell Inc prior to 05/2021) (De-listed 09/2022),President/CEO,CAUCASIAN/WHITE,5/4/17,9/2/22,Executive Director,1,Yes
622,98,K,KELLOGG CO,6375,0,3BoardEx,Steve Cahillane,,,,,,,Yes,,,,,,0,0,322,17777,455061,KELLANOVA CO (Kellogg Co prior to 10/2023),Chairman/President/CEO,CAUCASIAN/WHITE,3/16/18,,Executive Director,1,Yes
623,271,J,JACOBS ENGINEERING GROUP INC,6216,0,3BoardEx,Steve Demetriou,,,,,,,Yes,,,,,,0,0,313,17251,349932,JACOBS SOLUTIONS INC (Jacobs Engineering Group Inc prior to 08/2022),Chairman/CEO,CAUCASIAN/WHITE,7/28/16,1/24/23,Executive Director,1,Yes
624,452,BK,BANK OF NEW YORK MELLON CORP,2019,0,3BoardEx,Steve Finch,,,,,,,Yes,,,,,,0,0,688,1987552,735008,CANADIAN BANC CORP,Chairman/President/CEO,CAUCASIAN/WHITE,7/15/05,,Executive Director,1,Yes
625,90,CINF,CINCINNATI FINANCIAL CORP,14824,0,3BoardEx,Steve Johnston,,,,,,,No,,,,,,0,0,126,6863,270963,CINCINNATI FINANCIAL CORP,President/CEO,CAUCASIAN/WHITE,5/2/11,5/2/20,Executive Director,1,No
626,156,KMI,KINDER MORGAN INC,6310,0,3BoardEx,Steve Kean,,,,,,,Yes,,,,,,0,0,661,1687673,480557,KINDER MORGAN INC (Kinder Morgan Holdco LLC prior to 02/2011),CEO,CAUCASIAN/WHITE,4/18/18,8/1/23,Executive Director,1,Yes
627,317,HOLX,HOLOGIC INC,20904,0,3BoardEx,Steve MacMillan,,,,,,,Yes,,,,,,0,0,280,14967,41481,HOLOGIC INC,Chairman/President/CEO,CAUCASIAN/WHITE,6/16/15,,Executive Director,1,Yes
628,209,QCOM,QUALCOMM INC,24800,0,3BoardEx,Steve Mollenkopf,,,,,,,Yes,,,,,,0,0,459,25529,640531,QUALCOMM INC,CEO,CAUCASIAN/WHITE,3/4/14,6/30/21,Executive Director,1,Yes
629,424,VFC,VF CORP,11060,0,3BoardEx,Steve Rendle,,,,,,,Yes,,,,,,0,0,552,32574,831805,VF CORP,Chairman (Executive)/President/CEO,CAUCASIAN/WHITE,10/28/17,12/2/22,Executive Director,1,Yes
630,487,VNO,VORNADO REALTY TRUST,11220,0,3BoardEx,Steve Roth,,,,,,,Yes,,,,,,0,0,554,32928,142089,VORNADO REALTY TRUST,Chairman/CEO,CAUCASIAN/WHITE,4/15/13,,Executive Director,1,Yes
631,343,DGX,QUEST DIAGNOSTICS INC,64166,0,3BoardEx,Steve Rusckowski,,,,,,,Yes,,,,,,0,0,461,25578,37246,QUEST DIAGNOSTICS INC,Chairman/President/CEO,CAUCASIAN/WHITE,1/1/17,11/1/22,Executive Director,1,Yes
632,38,MCHP,MICROCHIP TECHNOLOGY INC,27965,1,3BoardEx,Steve Sanghi,,,,,,,Yes,,,,,,0,0,373,20566,61502,MICROCHIP TECHNOLOGY INC,Chairman/CEO,INDIAN/SOUTH ASIAN,2/3/16,3/1/21,Executive Director,1,Yes
633,451,AXP,AMERICAN EXPRESS CO,1447,0,3BoardEx,Steve Squeri,1,251,American Express,11/4/11,59176,,,TMT,1,,0,1,3,1,22,1815,455385,AMERICAN EXPRESS CO,Chairman/CEO,CAUCASIAN/WHITE,2/1/18,,Executive Director,1,Yes
634,451,AXP,AMERICAN EXPRESS CO,1447,0,3BoardEx,Steve Squeri,1,135,American Express,4/27/99,59176,,Yes,CEO,1,0,0,1,3,1,22,1815,455385,AMERICAN EXPRESS CO,Chairman/CEO,CAUCASIAN/WHITE,2/1/18,,Executive Director,1,Yes
635,451,AXP,AMERICAN EXPRESS CO,1447,0,3BoardEx,Steve Squeri,1,189,American Express,7/12/07,59176,,,TMT,0,,1,1,3,1,22,1815,455385,AMERICAN EXPRESS CO,Chairman/CEO,CAUCASIAN/WHITE,2/1/18,,Executive Director,1,Yes
636,263,HBAN,HUNTINGTON BANCSHARES,5786,0,3BoardEx,Steve Steinour,,,,,,,Yes,,,,,,0,0,292,15235,200105,HUNTINGTON BANCSHARES INC,Chairman/President/CEO,CAUCASIAN/WHITE,1/14/09,,Executive Director,1,Yes
637,62,WRK,WESTROCK CO,29830,0,3BoardEx,Steve Voorhees,,,,,,,Yes,,,,,,0,0,704,2302775,325766,WESTROCK CO,President/CEO,CAUCASIAN/WHITE,7/1/15,3/15/21,Executive Director,1,Yes
638,490,DHR,DANAHER CORP,3735,0,3BoardEx,Steven Rales,,,,,,,Yes,,,,,,0,0,170,8663,36902,DANAHER CORP,Chairman (Executive),CAUCASIAN/WHITE,2/1/90,,Executive Director,0,Yes
639,485,TTWO,TAKE-TWO INTERACTIVE SFTWR,64630,0,3BoardEx,Strauss Zelnick,,,,,,,Yes,,,,,,0,0,509,29924,333171,TAKE TWO INTERACTIVE SOFTWARE INC,Chairman (Executive)/CEO,CAUCASIAN/WHITE,1/1/11,,Executive Director,1,Yes
640,129,LEN,LENNAR CORP,6669,0,3BoardEx,Stuart Miller,,,,,,,Yes,,,,,,0,0,335,18703,61812,LENNAR CORP,Chairman (Executive),CAUCASIAN/WHITE,4/11/18,9/1/23,Executive Director,0,Yes
641,208,O,REALTY INCOME CORP,30822,1,3BoardEx,Sumit Roy,,,,,,,Yes,,,,,,0,0,464,25864,1128307,REALTY INCOME CORP,President/CEO,INDIAN/SOUTH ASIAN,10/16/18,,Executive Director,1,Yes
642,357,GOOGL,ALPHABET INC,160329,1,3BoardEx,Sundar Pichai,,,,,,,Yes,,,,,,0,0,588,116351,887679,ALPHABET INC (Google Inc prior to 10/2015),CEO,INDIAN/SOUTH ASIAN,12/3/19,,Executive Director,1,Yes
643,33,SEE,SEALED AIR CORP,9555,0,3BoardEx,Ted Doheny II,,,,,,,Yes,,,,,,0,0,491,27418,516421,SEALED AIR CORP,President/CEO,CAUCASIAN/WHITE,1/1/18,10/23/23,Executive Director,1,Yes
644,16,AFL,AFLAC INC,1449,0,2Bermiss,Teresa White,1,250,A_ac,9/29/14,57904,,,TMT,1,,1,1,2,1,,,,,,CAUCASIAN/WHITE,,,,0,No
645,14,HD,HOME DEPOT INC,5680,0,2Bermiss,Teresa Wynn Roseborough,1,257,Home Depot,10/7/11,66181,,,TMT,0,,1,1,3,1,281,14982,536170,HOME DEPOT INC,Chairman/President/CEO,CAUCASIAN/WHITE,2/2/15,10/5/20,Executive Director,1,Yes
646,107,EVRG,EVERGY INC,6338,0,3BoardEx,Terry Bassham,,,,,,,Yes,,,,,,0,0,717,2824528,345671,EVERGY INC,President/CEO,CAUCASIAN/WHITE,6/5/18,1/4/21,Executive Director,1,Yes
647,9,OKE,ONEOK INC,8151,0,3BoardEx,Terry Spencer,0,154,Oneok Inc,8/29/00,25232,,Yes,CEO,0,0,0,,0,0,411,23165,620137,ONEOK INC (WAI Inc prior to 11/1997),President/CEO,CAUCASIAN/WHITE,1/31/14,6/28/21,Executive Director,1,Yes
648,9,OKE,ONEOK INC,8151,0,3BoardEx,Terry Spencer,0,80,"ONEOK, Inc.",11/16/06,25232,,Yes,CEO,1,0,0,,0,0,411,23165,620137,ONEOK INC (WAI Inc prior to 11/1997),President/CEO,CAUCASIAN/WHITE,1/31/14,6/28/21,Executive Director,1,Yes
649,458,EL,ESTEE LAUDER COMPANIES INC,61567,0,3BoardEx,The Hon. Ronald Lauder,1,236,Estee Lauder,7/18/12,82642,,,TMT,0,,1,1,2,1,221,11074,51301,ESTEE LAUDER COS INC,Division Chairman,CAUCASIAN/WHITE,11/11/16,,Executive Director,0,Yes
650,458,EL,ESTEE LAUDER COMPANIES INC,61567,0,3BoardEx,The Hon. Ronald Lauder,1,238,Estee Lauder,7/18/12,82642,,,TMT,0,,1,1,2,1,221,11074,51301,ESTEE LAUDER COS INC,Division Chairman,CAUCASIAN/WHITE,11/11/16,,Executive Director,0,Yes
651,420,AIV,APARTMENT INVST & MGMT CO,30490,0,3BoardEx,The Hon. Terry Considine,,,,,,,Yes,,,,,,0,0,35,2310,87112,APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO),Chairman/CEO,CAUCASIAN/WHITE,2/10/09,12/15/20,Executive Director,1,Yes
652,382,CME,CME GROUP INC,149070,0,3BoardEx,The Hon. Terry Duffy,,,,,,,Yes,,,,,,0,0,590,268946,91452,CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007),Chairman/CEO,CAUCASIAN/WHITE,11/10/16,,Executive Director,1,Yes
653,428,LRCX,LAM RESEARCH CORP,6565,0,3BoardEx,Tim Archer,,,,,,,Yes,,,,,,0,0,334,18384,487342,LAM RESEARCH CORP,President/CEO,CAUCASIAN/WHITE,12/5/18,,Executive Director,1,Yes
654,347,AAPL,APPLE INC,1690,0,3BoardEx,Tim Cook,,,,,,,Yes,,,,,,0,0,36,2355,55422,APPLE INC (Apple Computer Inc prior to 01/2007),CEO,CAUCASIAN/WHITE,8/24/11,,Executive Director,1,Yes
655,79,AVB,AVALONBAY COMMUNITIES INC,29875,0,3BoardEx,Tim Naughton,,,,,,,Yes,,,,,,0,0,45,3169,204883,AVALONBAY COMMUNITIES INC,Chairman/President/CEO,CAUCASIAN/WHITE,5/22/13,2/1/21,Executive Director,1,Yes
656,298,F,FORD MOTOR CO,4839,0,3BoardEx,Tim Warman,,,,,,,Yes,,,,,,0,0,638,1227085,735131,FIORE GOLD LTD (Fiore Exploration Ltd prior to 09/2017) (De-listed 01/2022),CEO,CAUCASIAN/WHITE,9/25/17,1/12/22,Executive Director,1,Yes
657,256,DG,DOLLAR GENERAL CORP,4016,0,3BoardEx,Todd Vasos,,,,,,,Yes,,,,,,0,0,647,1605214,487710,DOLLAR GENERAL CORP,CEO,CAUCASIAN/WHITE,6/3/15,11/1/22,Executive Director,1,Yes
658,181,WELL,WELLTOWER INC,5543,0,3BoardEx,Tom DeRosa,,,,,,,Yes,,,,,,0,0,271,14484,183802,WELLTOWER INC (Health Care REIT Inc prior to 09/2015),Chairman/CEO,CAUCASIAN/WHITE,5/2/19,10/5/20,Executive Director,1,Yes
659,60,SO,SOUTHERN CO,9850,0,3BoardEx,Tom Fanning,1,256,Southern Company,12/22/08,18411,,,TMT,0,,0,1,2,1,501,28665,325858,SOUTHERN CO,Chairman/President/CEO,CAUCASIAN/WHITE,12/1/10,3/31/23,Executive Director,1,Yes
660,60,SO,SOUTHERN CO,9850,0,3BoardEx,Tom Fanning,1,123,Georgia Power,5/26/21,18411,,Yes,CEO,0,0,0,1,2,1,501,28665,325858,SOUTHERN CO,Chairman/President/CEO,CAUCASIAN/WHITE,12/1/10,3/31/23,Executive Director,1,Yes
661,81,D,DOMINION ENERGY INC,4029,0,3BoardEx,Tom Farrell II,,,,,,,Yes,,,,,,0,0,186,9491,36934,DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017),Chairman/President/CEO,CAUCASIAN/WHITE,4/27/07,10/1/20,Executive Director,1,Yes
662,17,AAP,ADVANCE AUTO PARTS INC,145977,0,3BoardEx,Tom Greco,,,,,,,Yes,,,,,,0,0,585,95856,1013356,ADVANCE AUTO PARTS INC,President/CEO,CAUCASIAN/WHITE,8/14/16,9/11/23,Executive Director,1,Yes
663,146,VMC,VULCAN MATERIALS CO,11228,0,3BoardEx,Tom Hill,,,,,,,Yes,,,,,,0,0,556,32979,1085549,VULCAN MATERIALS CO,Chairman/President/CEO,CAUCASIAN/WHITE,1/1/16,9/20/23,Executive Director,1,Yes
664,490,DHR,DANAHER CORP,3735,0,3BoardEx,Tom Joyce Jr,,,,,,,Yes,,,,,,0,0,172,8663,490718,DANAHER CORP,President/CEO,CAUCASIAN/WHITE,9/9/14,9/1/20,Executive Director,1,Yes
665,87,CMI,CUMMINS INC,3650,0,3BoardEx,Tom Linebarger,,,,,,,Yes,,,,,,0,0,166,8426,203776,CUMMINS INC,Chairman/CEO,CAUCASIAN/WHITE,1/1/12,8/1/22,Executive Director,1,Yes
666,422,NEM,NEWMONT CORP,7881,0,3BoardEx,Tom Palmer,,,,,,,Yes,,,,,,0,0,393,22069,1378869,NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020),President/CEO,CAUCASIAN/WHITE,10/1/19,,Executive Director,1,Yes
667,236,CHTR,CHARTER COMMUNICATIONS INC,126136,0,3BoardEx,Tom Rutledge,,,,,,,Yes,,,,,,0,0,652,1661731,334487,CHARTER COMMUNICATIONS INC (Spectrum),Chairman/CEO,CAUCASIAN/WHITE,7/26/16,11/30/22,Executive Director,1,Yes
668,102,UDR,UDR INC,10894,0,3BoardEx,Tom Toomey,,,,,,,Yes,,,,,,0,0,543,32094,181650,UDR INC (United Dominion Realty Trust Inc prior to 03/2007),Chairman/CEO,CAUCASIAN/WHITE,1/1/19,,Executive Director,1,Yes
669,105,LW,LAMB WESTON HOLDINGS INC,28790,0,3BoardEx,Tom Werner,,,,,,,Yes,,,,,,0,0,710,2558653,1595178,LAMB WESTON HOLDINGS INC,President/CEO,CAUCASIAN/WHITE,11/9/16,,Executive Director,1,Yes
670,286,PH,PARKER-HANNIFIN CORP,8358,0,3BoardEx,Tom Williams,,,,,,,Yes,,,,,,0,0,423,23834,502142,PARKER-HANNIFIN CORP,Chairman/CEO,CAUCASIAN/WHITE,1/1/16,1/1/23,Executive Director,1,Yes
671,378,ALL,ALLSTATE CORP,28349,0,3BoardEx,Tom Wilson II,,,,,,,Yes,,,,,,0,0,16,1534,34944,ALLSTATE CORP,Chairman/President/CEO,CAUCASIAN/WHITE,2/23/18,,Executive Director,1,Yes
672,225,CF,CF INDUSTRIES HOLDINGS INC,163946,0,3BoardEx,Tony Will,,,,,,,Yes,,,,,,0,0,611,665753,534187,CF INDUSTRIES HLDGS INC,President/CEO,CAUCASIAN/WHITE,1/2/14,,Executive Director,1,Yes
673,458,EL,ESTEE LAUDER COMPANIES INC,61567,0,2Bermiss,Tracey Travis,1,236,Estee Lauder,7/18/12,82642,,,TMT,0,,1,1,2,1,223,11074,590109,ESTEE LAUDER COS INC,President/CEO,CAUCASIAN/WHITE,7/1/09,,Executive Director,1,Yes
674,458,EL,ESTEE LAUDER COMPANIES INC,61567,0,2Bermiss,Tracey Travis,1,238,Estee Lauder,7/18/12,82642,,,TMT,0,,1,1,2,1,223,11074,590109,ESTEE LAUDER COS INC,President/CEO,CAUCASIAN/WHITE,7/1/09,,Executive Director,1,Yes
675,458,EL,ESTEE LAUDER COMPANIES INC,61567,0,2Bermiss,Tracey Travis,1,236,Estee Lauder,7/18/12,82642,,,TMT,0,,1,1,2,1,219,11074,51286,ESTEE LAUDER COS INC,Chairman Emeritus,CAUCASIAN/WHITE,7/1/09,11/17/23,Executive Director,0,Yes
676,458,EL,ESTEE LAUDER COMPANIES INC,61567,0,2Bermiss,Tracey Travis,1,238,Estee Lauder,7/18/12,82642,,,TMT,0,,1,1,2,1,219,11074,51286,ESTEE LAUDER COS INC,Chairman Emeritus,CAUCASIAN/WHITE,7/1/09,11/17/23,Executive Director,0,Yes
677,458,EL,ESTEE LAUDER COMPANIES INC,61567,0,2Bermiss,Tracey Travis,1,236,Estee Lauder,7/18/12,82642,,,TMT,0,,1,1,2,1,221,11074,51301,ESTEE LAUDER COS INC,Division Chairman,CAUCASIAN/WHITE,11/11/16,,Executive Director,0,Yes
678,458,EL,ESTEE LAUDER COMPANIES INC,61567,0,2Bermiss,Tracey Travis,1,238,Estee Lauder,7/18/12,82642,,,TMT,0,,1,1,2,1,221,11074,51301,ESTEE LAUDER COS INC,Division Chairman,CAUCASIAN/WHITE,11/11/16,,Executive Director,0,Yes
679,458,EL,ESTEE LAUDER COMPANIES INC,61567,0,2Bermiss,Tracey Travis,1,236,Estee Lauder,7/18/12,82642,,,TMT,0,,1,1,2,1,217,11074,51266,ESTEE LAUDER COS INC,Chairman (Executive),CAUCASIAN/WHITE,7/1/09,,Executive Director,0,Yes
680,458,EL,ESTEE LAUDER COMPANIES INC,61567,0,2Bermiss,Tracey Travis,1,238,Estee Lauder,7/18/12,82642,,,TMT,0,,1,1,2,1,217,11074,51266,ESTEE LAUDER COS INC,Chairman (Executive),CAUCASIAN/WHITE,7/1/09,,Executive Director,0,Yes
681,480,RL,RALPH LAUREN CORP,64891,0,2Bermiss,Tracey Travis,1,237,Polo Ralph Lauren,11/20/04,85072,,,TMT,1,,1,1,1,1,439,24726,1319543,RALPH LAUREN CORP,Vice Chairman/Chief Innovation Officer,CAUCASIAN/WHITE,10/7/16,3/1/22,Executive Director,0,Yes
682,480,RL,RALPH LAUREN CORP,64891,0,2Bermiss,Tracey Travis,1,237,Polo Ralph Lauren,11/20/04,85072,,,TMT,1,,1,1,1,1,438,24726,884348,RALPH LAUREN CORP,President/CEO,CAUCASIAN/WHITE,7/3/17,,Executive Director,1,Yes
683,480,RL,RALPH LAUREN CORP,64891,0,2Bermiss,Tracey Travis,1,237,Polo Ralph Lauren,11/20/04,85072,,,TMT,1,,1,1,1,1,437,24726,220546,RALPH LAUREN CORP,Executive Chairman/Chief Creative Officer,CAUCASIAN/WHITE,11/2/15,,Executive Director,0,Yes
684,66,FANG,DIAMONDBACK ENERGY INC,170750,0,3BoardEx,Travis Stice,,,,,,,Yes,,,,,,0,0,675,1895607,1277021,DIAMONDBACK ENERGY INC,CEO,CAUCASIAN/WHITE,1/1/17,2/22/22,Executive Director,1,Yes
685,285,PGR,PROGRESSIVE CORP-OHIO,13341,0,3BoardEx,Tricia Griffith,,,,,,,Yes,,,,,,0,0,448,25199,40291,PROGRESSIVE CORP (OHIO),President/CEO,CAUCASIAN/WHITE,7/1/16,,Executive Director,1,Yes
686,342,DPZ,DOMINO'S PIZZA INC,160211,0,2Bermiss,Troy Ellis,1,182,Domino_¡_¯s Pizza,6/30/15,90248,,,TMT,1,,0,1,1,1,583,90132,1110512,DOMINO'S PIZZA INC,CEO,CAUCASIAN/WHITE,7/1/18,4/26/22,Executive Director,1,Yes
687,364,MXIM,MAXIM INTEGRATED PRODUCTS,14256,1,3BoardEx,Tunc Doluca,,,,,,,Yes,,,,,,0,0,362,19863,36387,MAXIM INTEGRATED PRODUCTS INC (De-listed 08/2021),President/CEO,MIDDLE-EASTERN/NORTH AFRICAN,1/1/07,8/26/21,Executive Director,1,Yes
688,242,XRX,XEROX HOLDINGS CORP,11636,0,2Bermiss,Ursula Burns,1,6,Xerox,5/21/09,27983,,Yes,CEO,1,0,1,1,5,1,573,33850,1117881,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),Vice Chairman/CEO,CAUCASIAN/WHITE,5/14/18,6/28/22,Executive Director,1,Yes
689,242,XRX,XEROX HOLDINGS CORP,11636,0,2Bermiss,Ursula Burns,1,169,Xerox,4/3/07,27983,,,TMT,0,,1,1,5,1,573,33850,1117881,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),Vice Chairman/CEO,CAUCASIAN/WHITE,5/14/18,6/28/22,Executive Director,1,Yes
690,31,IR,INGERSOLL RAND INC,30098,0,3BoardEx,Vicente Reynal,,,,,,,Yes,,,,,,0,0,712,2656398,1912562,INGERSOLL RAND INC (Gardner Denver Holdings Inc prior to 03/2020),President/CEO,CAUCASIAN/WHITE,5/12/17,11/9/21,Executive Director,1,Yes
691,161,OXY,OCCIDENTAL PETROLEUM CORP,8068,0,3BoardEx,Vicki Hollub,,,,,,,Yes,,,,,,0,0,405,22899,1304382,OCCIDENTAL PETROLEUM CORP,President/CEO,CAUCASIAN/WHITE,4/29/16,,Executive Director,1,Yes
692,55,KO,COCA-COLA CO,3144,0,2Bermiss,Vicki Palmer,1,220,Coca-Cola,1/13/04,11308,,,TMT,1,,1,1,3,1,140,7204,877797,COCA-COLA CO,Chairman/CEO,CAUCASIAN/WHITE,4/24/19,,Executive Director,1,Yes
693,275,MTCH,MATCH GROUP INC,26061,1,3BoardEx,Victor Kaufman,,,,,,,Yes,,,,,,0,0,540,32019,43526,MATCH GROUP INC (IAC InterActiveCorp prior to 07/2020),Vice Chairman (Executive),INDIAN/SOUTH ASIAN,10/1/99,6/30/20,Executive Director,0,Yes
694,375,XLNX,XILINX INC,22325,1,3BoardEx,Victor Peng,,,,,,,Yes,,,,,,0,0,574,33857,339239,XILINX INC (De-listed 02/2022),President/CEO,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),1/29/18,2/14/22,Executive Director,1,Yes
695,313,ADI,ANALOG DEVICES INC,1632,0,3BoardEx,Vincent Roche,,,,,,,Yes,,,,,,0,0,30,2145,35469,ANALOG DEVICES INC,President/CEO,CAUCASIAN/WHITE,5/6/13,3/9/22,Executive Director,1,Yes
696,398,COST,COSTCO WHOLESALE CORP,29028,0,3BoardEx,W Jelinek,,,,,,,Yes,,,,,,0,0,161,8022,43701,COSTCO WHOLESALE CORP,President/CEO,CAUCASIAN/WHITE,1/1/12,2/2/22,Executive Director,1,Yes
697,101,SCHW,SCHWAB (CHARLES) CORP,13988,0,3BoardEx,Walt Bettinger II,,,,,,,Yes,,,,,,0,0,488,27292,486476,CHARLES SCHWAB CORP,President/CEO,CAUCASIAN/WHITE,10/1/08,10/15/21,Executive Director,1,Yes
698,18,MLM,MARTIN MARIETTA MATERIALS,29733,0,3BoardEx,Ward Nye,,,,,,,Yes,,,,,,0,0,359,19739,841525,MARTIN MARIETTA MATERIALS INC,Chairman/President/CEO,CAUCASIAN/WHITE,5/22/14,,Executive Director,1,Yes
699,440,AEE,AMEREN CORP,10860,0,3BoardEx,Warner Baxter,,,,,,,Yes,,,,,,0,0,24,1976,51707,AMEREN CORP,Chairman/President/CEO,CAUCASIAN/WHITE,7/1/14,1/1/22,Executive Director,1,Yes
700,142,BRK.B,BERKSHIRE HATHAWAY,2176,0,3BoardEx,Warren Buffett,,,,,,,No,,,,,,0,0,61,4080,32543,BERKSHIRE HATHAWAY INC,Chairman/CEO,CAUCASIAN/WHITE,1/1/70,,Executive Director,1,No
